location,lat,lng,value
"Westfield, Union County",40.6589912,-74.3473717,82
"Westhampton, Burlington County",40.0205975,-74.7922202,82
"Livingston, Essex County",40.7862871,-74.3300842,81
"Woodland Park, Passaic County",40.8898212,-74.1948674,81
"Newton, Sussex County",41.0581527,-74.7526651,81
"Palmyra, Burlington County",40.0070565,-75.0282271,81
"Guttenberg, Hudson County",40.7920454,-74.0037505,80
"Caldwell, Essex County",40.8398218,-74.2765366,80
"Old Bridge, Middlesex County",40.4128551,-74.307282,78
"Lodi, Bergen County",40.8823215,-74.0831971,78
"Freehold, Monmouth County",40.2136754,-74.3000878,78
"Holmdel, Monmouth County",40.3451095,-74.1840322,78
"Matawan, Monmouth County",40.41483,-74.2295891,77
"Glen Ridge, Essex County",40.805378,-74.2037566,76
"Green Brook, Somerset County",40.6049167,-74.4851659,75
"Waterford, Camden County",39.771287,-74.886909,74
"Boonton, Morris County",40.904019,-74.4087405,73
"Carney_s Point, Salem County",39.7111989,-75.4701443,73
"Hawthorne, Passaic County",40.9492649,-74.1537549,73
"Ventnor City, Atlantic County",39.3403942,-74.4773735,73
"Montville, Morris County",40.9148209,-74.383763,73
"Delran, Burlington County",40.0158918,-74.9564247,72
"Manville, Somerset County",40.5409367,-74.5876569,72
"Vernon, Sussex County",41.1947018,-74.4937943,72
"Fairview, Bergen County",40.8126006,-73.999028,71
"South Amboy, Middlesex County",40.4778838,-74.290702,71
"Jefferson, Morris County",41.0029893,-74.5580454,71
"Cape May, Cape May County",38.9351125,-74.9060053,71
"Princeton, Mercer County",40.3572976,-74.6672226,69
"Ocean Township, Ocean County",39.7904391,-74.2176448,68
"Mahwah, Bergen County",41.0886216,-74.1435843,68
"Hanover, Morris County",40.8257746,-74.4173877,68
"North Arlington, Bergen County",40.788434,-74.1331988,67
"Denville, Morris County",40.8923212,-74.4773775,66
"Westwood, Bergen County",40.9912087,-74.0326395,66
"Branchburg, Somerset County",40.5868114,-74.6985891,66
"Flemington, Hunterdon County",40.5123258,-74.8593318,65
"Clementon, Camden County",39.8115033,-74.9829443,65
"Berlin Boro, Camden County",39.7912261,-74.9290536,64
"Bellmawr, Camden County",39.8676134,-75.0946182,64
"Rutherford, Bergen County",40.826489,-74.1068091,63
"Spotswood, Middlesex County",40.391774,-74.3984834,62
"Seaside Park, Ocean County",39.9267852,-74.0770806,59
"Highlands Boro, Monmouth County",40.40372,-73.991527,59
"Rochelle Park, Bergen County",40.9073328,-74.0751273,59
"Westville, Gloucester County",39.8678912,-75.1315649,58
"Neptune City, Monmouth County",40.2005472,-74.0314165,58
"West Windsor, Mercer County",40.2983262,-74.618634,58
"Absecon, Atlantic County",39.4284503,-74.4957076,58
"Clayton, Gloucester County",39.6601148,-75.0921197,58
"Sea Bright, Monmouth County",40.3614987,-73.9740262,57
"Ringwood, Passaic County",41.1134289,-74.2454254,57
"Somers Point, Atlantic County",39.3160641,-74.6053047,57
"Ocean Port, Monmouth County",40.3181663,-74.0151382,57
"Little Falls, Passaic County",40.8690101,-74.2082286,55
"Wildwood Crest, Cape May County",38.9748351,-74.8335015,55
"Weehawken, Hudson County",40.7663711,-74.0253715,54
"Bogota, Bergen County",40.8762106,-74.0298621,54
"Hightstown, Mercer County",40.2695538,-74.5232089,54
"Florence, Burlington County",40.0967369,-74.7863387,54
"Scotch Plains, Union County",40.6400404,-74.369018,53
"Long Beach Township, Ocean County",39.6155009,-74.199545,53
"Beverly, Burlington County",40.0653889,-74.9190558,52
"Brooklawn, Camden County",39.8795177,-75.1209704,52
"Pequannock, Morris County",40.960201,-74.2973239,52
"Woodlynne, Camden County",39.916311,-75.094695,52
"Collingswood, Camden County",39.9181686,-75.071284,52
"Raritan, Somerset County",40.5695474,-74.6329363,51
"Bloomingdale, Passaic County",41.002042,-74.3265388,50
"Brigantine Beach, Atlantic County",39.4020614,-74.3668129,49
"Stanhope, Sussex County",40.9028765,-74.7090517,49
"South Boundbrook, Somerset County",40.5534364,-74.531544,49
"Maywood, Bergen County",40.902599,-74.0618074,48
"Moorestown, Burlington County",39.9688817,-74.948886,48
"Deal, Monmouth County",40.243168,-74.0006927,48
"Buena Borough, Atlantic County",39.5314776,-74.9384135,48
"Metuchen, Middlesex County",40.5431598,-74.3632049,47
"Lake Como Boro, Monmouth County",40.1707443,-74.0274216,47
"Carlstadt, Bergen County",40.8403778,-74.0906974,46
"Rockaway Twp, Morris County",40.9300943,-74.4872422,46
"Little Silver, Monmouth County",40.3367768,-74.0470837,46
"Little Ferry, Bergen County",40.8528777,-74.0420848,46
"Cedar Grove, Essex County",40.8517876,-74.2290319,45
"Greenwich, Gloucester County",39.8200838,-75.2618666,45
"Lakehurst, Ocean County",40.014561,-74.3112574,45
"Mount Ephraim, Camden County",39.8784465,-75.0926738,45
"South Toms River, Ocean County",39.9420625,-74.2043082,45
"Egg Harbor City, Atlantic County",39.5287282,-74.6479364,44
"Edgewater Park, Burlington County",40.0681666,-74.9007218,43
"Clinton Township, Hunterdon County",40.6306905,-74.8684564,43
"Mansfield, Warren County",40.8217167,-74.8974925,43
"Springfield, Union County",40.7016937,-74.3222146,41
"Medford, Burlington County",39.8661826,-74.8390162,41
"Dumont, Bergen County",40.9406541,-73.9968051,40
"Park Ridge, Bergen County",41.0375968,-74.0406956,39
"Stone Harbor Borough, Cape May County",39.0464066,-74.7643608,38
"Somerdale, Camden County",39.8440027,-75.0226691,38
"West Long Branch, Monmouth County",40.2903891,-74.0176381,37
"Berlin township, Camden County",39.8008256,-74.9150313,37
"Summit, Union County",40.7146376,-74.3646122,37
"Beach Haven, Ocean County",39.5592848,-74.2431962,36
