Row Labels,Count of church,Address,UpdatedChurchName,Latitude,Longitude,Flag
"St. Philip the Apostle, Saddle Brook",1,,"St. Philip the Apostle, Saddle Brook",40.907841,-74.0911014,
"St. Philomena, Livingston",4,,"St. Philomena, Livingston",40.7809018,-74.317308,
"St. Pius X High School, Piscataway",1,,"St. Pius X High School, Piscataway",39.1727707,-94.5617172,
"St. Pius X, Cherry Hill",4,,"St. Pius X, Cherry Hill",39.8919596,-75.011669,
"St. Pius X, Old Tappan",1,,"St. Pius X, Old Tappan",41.0137815,-73.9889685,
"St. Raphael, Livingston",1,,"St. Raphael, Livingston",40.7952032,-74.2936707,
"St. Raymond, Villas",2,,"St. Raymond, Villas",39.0314531,-74.933749,
"St. Rocco Community Outreach Center, Newark",1,,"St. Rocco Community Outreach Center, Newark",40.7360783,-74.1992361,
"St. Rocco Parish, Newark",1,,"St. Rocco Parish, Newark",40.7360783,-74.1992361,Could include the school?
"St. Rocco School, Newark",1,,"St. Rocco School, Newark",40.740186,-74.2033728,
"St. Rose of Lima, Haddon Heights",4,,"St. Rose of Lima, Haddon Heights",39.8872054,-75.057673,Could also be a school?
"St. Rose of Lima, Newfield",1,,"St. Rose of Lima, Newfield",39.547876,-75.021529,
"St. Rose of Lima, Short Hills",4,,"St. Rose of Lima, Short Hills",40.7214778,-74.3182834,
"St. Rose, Haddon Heights",5,,"St. Rose of Lima, Haddon Heights",39.8872054,-75.057673,Could also be a school? / Same as above
"St. Rose, Newfield",4,,"St. Rose of Lima, Newfield",39.547876,-75.021529,
"St. Stanislaus Kostka, Sayreville",1,,"St. Stanislaus Kostka, Sayreville",40.4663834,-74.3642469,
"St. Stephen, Pennsauken",5,,"St. Stephen, Pennsauken",39.937675,-75.0659653,
"St. Teresa of Avila, Bridgeton",1,,"St. Teresa of Avila, Bridgeton",39.4292841,-75.2486335,
"St. Teresa of Avila, Summit",1,,"St. Teresa of Avila, Summit",40.7149744,-74.3626507,
"St. Teresa, Runnemede",3,,"St. Teresa, Runnemede",39.8451571,-75.0700493,Could also be a school?
"St. Theresa, Kenilworth",2,,"St. Theresa, Kenilworth",40.678037,-74.2902592,
"St. Theresa, Runnemede",1,,"St. Teresa, Runnemede",39.8451571,-75.0700493,Could also be a school? / same as above
"St. Thomas More, Cherry Hill",3,,"St. Thomas More, Cherry Hill",39.884608,-74.967588,
"St. Thomas the Apostle, Old Bridge",1,,"St. Thomas the Apostle, Old Bridge",40.4024743,-74.3546508,
"St. Thomas, Brigantine",5,,"St. Thomas, Brigantine",39.4040973,-74.367592,
"St. Thomas, Brigantine - weekends",1,,"St. Thomas, Brigantine",39.4040973,-74.367592,Same as above
"St. Valentine, Bloomfield",3,,"St. Valentine, Bloomfield",40.8099629,-74.1864258,
"St. Veronica, Delair",1,,"St. Veronica, Delair",39.9815013,-75.0515613,
"St. Vincent de Paul, Bayonne",2,,"St. Vincent de Paul, Bayonne",40.6821061,-74.1068722,
"St. Vincent de Paul, Mays Landing",2,,"St. Vincent de Paul, Mays Landing",39.4489289,-74.6808179,
"St. Vincent Pallotti, Haddon Township",1,,"St. Vincent Pallotti, Haddon Township",39.8984323,-75.062415,
"Stevens Institute of Technology, Hoboken",1,,"Stevens Institute of Technology, Hoboken",40.7448183,-74.0256482,
"Sts. Peter & Paul, Turnersville",1,,"Sts. Peter & Paul, Turnersville",39.743185,-75.0653126,
"Sts. Peter & Paul, Washington Township",1,,"Sts. Peter & Paul, Turnersville",39.743185,-75.0653126,same as above
"Sts. Peter and Paul, Turnersville",1,,"Sts. Peter & Paul, Turnersville",39.743185,-75.0653126,same as above
"Temporary Assignment Diocese of Trenton, Sea Bright",1,,"Trenton Diocese, Sea Bright",40.255611,-74.742457,
"Temporary Chaplain - Valley Hospital, Ridgewood",1,,"Valley Hospital, Ridgewood",40.9838774,-74.1005112,Same as below
"Transfiguration, West Collingswood",3,,"Transfiguration, West Collingswood",39.9123881,-75.084537,
"U.S. Naval Air Station, Norfolk",1,,"U.S. Naval Air Station, Norfolk",36.9479588,-76.3022772,
"Union Catholic Regional High School, Scotch Plains",1,,"Union Catholic Regional High School, Scotch Plains",40.6252509,-74.3579671,
US Army - Chaplain,1,,US Army - Chaplain,34.0183853,-80.9248262,
"US Army Chaplain School, Ft. Wadsworth",1,,"US Army Chaplain School, Ft. Wadsworth",40.6012117,-74.0579185,Flag
US Army,1,,US Army,36.7157934,-95.9326024,
"US Naval Reserve,",1,,"US Naval Reserve,",37.638405,-97.2734639,
"Valley Hospital, Ridgewood",1,,"Valley Hospital, Ridgewood",40.9838774,-74.1005112,
"Veteran's Administrative Hospital, Batavia",1,,"Veterans Administration Hospital, Batavia",43.0134556,-78.19765,
"Vianney Renewal Center, Dittmer, MO",1,,"Vianney Renewal Center, Dittmer, MO",38.3453611,-90.6914493,
"Vianney Villa, Cherry Hill",2,,"Vianney Villa, Cherry Hill",39.8800648,-74.9662203,
Villanova University,1,,Villanova University,40.037056,-75.34358,
"West Jersey Hospital - Chaplain, Camden",1,,"West Jersey Hospital, Camden",39.9286174,-75.1079913,
